devP,wba,convergance,dy_wrkr_util,dy_mstr_util,detection,mx_wrkr_util,mx_mstr_util,os_wrkr_util,os_mstr_util
0.5,1,58,0.9,-7.94,101,0.769344,-5.15111,0,-9
0.5,1.1,52,1,-15.953,101,0.835821,-7.68522,0,-18
0.5,1.2,48,1.1,-24.095,101,0.91464,-12.9699,0,-27
0.5,1.3,42,1.2,-31.922,101,1.101,-18.1559,0,-36
0.5,1.4,40,1.3,-40.034,101,1.06799,-22.5488,0,-45
0.5,1.5,37,1.4,-48.059,101,1.20575,-27.2154,0,-54
0.5,1.6,34,1.5,-56.123,101,1.21494,-29.7699,0,-63
0.5,1.7,32,1.6,-64.34,101,1.32803,-33.836,0,-72
0.5,1.8,30,1.7,-72.416,101,1.47868,-36.774,0,-81
0.5,1.9,29,1.8,-80.517,101,1.45397,-38.1051,0,-90
0.5,2,27,1.9,-88.737,101,1.55802,-39.9318,0,-99
0.6,1,68,0.9,-96.297,101,0.733044,-45.6151,0,-108
0.6,1.1,62,1,-104.058,101,0.84512,-50.6794,0,-117
0.6,1.2,55,1.1,-111.386,101,0.971213,-54.6694,0,-126
0.6,1.3,51,1.2,-119.029,101,0.981366,-59.4269,0,-135
0.6,1.4,47,1.3,-126.733,101,1.08214,-64.7307,0,-144
0.6,1.5,44,1.4,-134.408,101,1.14733,-70.059,0,-153
0.6,1.6,40,1.5,-142.004,101,1.0715,-71.0572,0,-162
0.6,1.7,38,1.6,-149.735,101,1.37319,-74.4966,0,-171
0.6,1.8,36,1.7,-157.475,101,1.41986,-76.9386,0,-180
0.6,1.9,35,1.8,-165.634,101,1.62158,-80.4012,0,-189
0.6,2,32,1.9,-173.674,101,1.59456,-84.3757,0,-198
0.7,1,80,0.9,-180.734,101,0.787633,-89.5057,0,-207
0.7,1.1,71,1,-187.718,101,0.863419,-95.5061,0,-216
0.7,1.2,64,1.1,-194.76,101,0.97904,-101.243,0,-225
0.7,1.3,59,1.2,-202.058,101,1.10711,-106.209,0,-234
0.7,1.4,54,1.3,-209.042,101,1.11078,-111.363,0,-243
0.7,1.5,50,1.4,-216.117,101,1.16572,-116.219,0,-252
0.7,1.6,47,1.5,-223.349,101,1.28904,-120.99,0,-261
0.7,1.7,44,1.6,-230.54,101,1.37772,-125.347,0,-270
0.7,1.8,41,1.7,-237.832,101,1.40522,-128.255,0,-279
0.7,1.9,40,1.8,-245.295,101,1.67493,-130.698,0,-288
0.7,2,37,1.9,-252.705,101,1.65196,-132.319,0,-297
0.8,1,88,0.9,-259.065,101,0.714878,-136.118,0,-306
0.8,1.1,80,1,-265.608,101,0.8726,-141.813,0,-315
0.8,1.2,72,1.1,-272.144,101,0.944667,-147.455,0,-324
0.8,1.3,67,1.2,-278.637,101,1.12402,-153.274,0,-333
0.8,1.4,62,1.3,-285.501,101,1.10515,-158.295,0,-342
0.8,1.5,57,1.4,-292.051,101,1.19398,-161.946,0,-351
0.8,1.6,53,1.5,-298.659,101,1.2071,-166.884,0,-360
0.8,1.7,49,1.6,-305.337,101,1.40009,-171.58,0,-369
0.8,1.8,47,1.7,-312.181,101,1.49806,-175.692,0,-378
0.8,1.9,45,1.8,-319.412,101,1.63452,-179.659,0,-387
0.8,2,42,1.9,-326.222,101,1.61784,-183.382,0,-396
0.9,1,97,0.9,-331.802,101,0.746667,-188.696,0,-405
0.9,1.1,89,1,-337.61,101,0.833081,-194.173,0,-414
0.9,1.2,81,1.1,-343.662,101,0.889333,-199.694,0,-423
0.9,1.3,74,1.2,-349.764,101,1.00077,-205.173,0,-432
0.9,1.4,67,1.3,-355.668,101,1.16829,-210.389,0,-441
0.9,1.5,63,1.4,-361.668,101,1.17972,-215.655,0,-450
0.9,1.6,59,1.5,-367.99,101,1.22221,-219.341,0,-459
0.9,1.7,55,1.6,-374.182,101,1.34246,-223.2,0,-468
0.9,1.8,53,1.7,-380.774,101,1.3736,-227.172,0,-477
0.9,1.9,49,1.8,-387.135,101,1.52304,-230.694,0,-486
0.9,2,47,1.9,-393.405,101,1.64578,-234.454,0,-495
1,1,101,0.9,-398.445,101,0.793256,-240.477,0,-504
1,1.1,97,1,-403.602,101,0.833081,-245.407,0,-513
1,1.2,87,1.1,-408.796,101,0.954627,-250.579,0,-522
1,1.3,81,1.2,-414.162,101,1.01472,-255.598,0,-531
1,1.4,75,1.3,-419.754,101,1.11078,-260.824,0,-540
1,1.5,69,1.4,-425.229,101,1.18805,-265.244,0,-549
1,1.6,65,1.5,-430.849,101,1.36348,-270.091,0,-558
1,1.7,61,1.6,-436.339,101,1.32578,-273.561,0,-567
1,1.8,58,1.7,-442.287,101,1.38586,-277.129,0,-576
1,1.9,55,1.8,-448.097,101,1.52881,-280.948,0,-585
1,2,51,1.9,-453.677,101,1.54436,-284.745,0,-594
